2023-07-11 14:48:29.5262|0|INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\j3537\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: |
2023-07-11 14:48:30.1609|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7061 |url: |action: |
2023-07-11 14:48:30.1634|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5128 |url: |action: |
2023-07-11 14:48:30.2180|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2023-07-11 14:48:30.2244|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2023-07-11 14:48:30.2244|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\GitLab\TUTOR.ERPS\TUTOR.ERPS\ |url: |action: |
2023-07-11 14:48:31.0353|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/swagger - - |url: https://localhost/swagger|action: |
2023-07-11 14:48:54.8834|0|INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\j3537\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: |
2023-07-11 14:48:55.6468|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7061 |url: |action: |
2023-07-11 14:48:55.6468|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5128 |url: |action: |
2023-07-11 14:48:55.6779|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2023-07-11 14:48:55.6779|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2023-07-11 14:48:55.6779|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\GitLab\TUTOR.ERPS\TUTOR.ERPS\ |url: |action: |
2023-07-11 14:48:56.3244|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/swagger - - |url: https://localhost/swagger|action: |
2023-07-11 14:48:56.5580|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7061/swagger - - - 301 0 - 236.1746ms |url: https://localhost/swagger|action: |
2023-07-11 14:48:56.5580|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/swagger/index.html - - |url: https://localhost/swagger/index.html|action: |
2023-07-11 14:48:56.8808|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/swagger/swagger-ui.css - - |url: https://localhost/swagger/swagger-ui.css|action: |
2023-07-11 14:48:56.8808|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/swagger/swagger-ui-bundle.js - - |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-07-11 14:48:56.8808|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/swagger/swagger-ui-standalone-preset.js - - |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-07-11 14:48:56.8960|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/_vs/browserLink - - |url: https://localhost/_vs/browserLink|action: |
2023-07-11 14:48:56.8960|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7061/_framework/aspnetcore-browser-refresh.js - - |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-07-11 14:48:56.8960|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7061/swagger/index.html - - - 200 - text/html;charset=utf-8 346.2845ms |url: https://localhost/swagger/index.html|action: |
2023-07-11 14:48:57.0588|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7061/_framework/aspnetcore-browser-refresh.js - - - 200 11998 application/javascript;+charset=utf-8 157.3114ms |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-07-11 14:48:57.0688|0|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' |url: https://localhost/swagger/swagger-ui.css|action: |
2023-07-11 14:48:57.0904|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7061/swagger/swagger-ui.css - - - 200 144929 text/css 208.8995ms |url: https://localhost/swagger/swagger-ui.css|action: |
2023-07-11 14:48:57.1313|0|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-07-11 14:48:57.1628|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7061/swagger/swagger-ui-standalone-preset.js - - - 200 312163 application/javascript 272.6963ms |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-07-11 14:48:57.3493|0|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-07-11 14:48:57.3493|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7061/swagger/swagger-ui-bundle.js - - - 200 1061536 application/javascript 473.3062ms |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-07-11 14:48:57.4902|0|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7061/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 599.5869ms |url: https://localhost/_vs/browserLink|action: |
