2023-08-08 16:06:42.1759|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-08-08 16:06:42.1759|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" received HEADERS frame for stream ID 9 with length 2393 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-08 16:06:42.1886|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" received HEADERS frame for stream ID 11 with length 235 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-08 16:06:42.1886|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |
2023-08-08 16:06:42.1886|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-08-08 16:06:42.2052|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending HEADERS frame for stream ID 7 with length 90 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-08-08 16:06:42.2052|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 7 with length 11998 and flags NONE. |url: |action: |
2023-08-08 16:06:42.2199|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-08-08 16:06:42.2199|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-08-08 16:06:42.2199|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui.css|action: |
