2023-08-24 16:34:10.5305|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-24 16:34:10.5305|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 1 with length 999 and flags NONE. |url: |action: |
2023-08-24 16:34:10.5305|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |
2023-08-24 16:34:10.5305|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |
2023-08-24 16:34:10.5433|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |
2023-08-24 16:34:10.5433|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" received HEADERS frame for stream ID 3 with length 219 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-24 16:34:10.5534|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" received HEADERS frame for stream ID 5 with length 2341 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-24 16:34:10.5534|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-08-24 16:34:10.5696|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 3 with length 11998 and flags NONE. |url: |action: |
2023-08-24 16:34:10.5696|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |
2023-08-24 16:34:10.6163|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |
2023-08-24 16:34:10.6163|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 5 with length 9986 and flags NONE. |url: |action: |
2023-08-24 16:34:10.6167|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |
2023-08-24 16:34:10.6167|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |
2023-08-24 16:34:10.6167|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |
2023-08-24 16:34:10.6167|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |
